;Codigo_Valor;Nombre;Valor;Year;Indicador;lau_id
277;ES_28152_2700_2016;Torrelodones;411941.0;2016;2700;ES_28152
278;ES_28153_2700_2016;Torremocha de Jarama;21199.0;2016;2700;ES_28153
279;ES_28154_2700_2016;Torres de la Alameda;185719.0;2016;2700;ES_28154
280;ES_28155_2700_2016;Valdaracete;8464.0;2016;2700;ES_28155
281;ES_28156_2700_2016;Valdeavero;20053.0;2016;2700;ES_28156
282;ES_28157_2700_2016;Valdelaguna;13303.0;2016;2700;ES_28157
283;ES_28158_2700_2016;Valdemanco;14395.0;2016;2700;ES_28158
284;ES_28159_2700_2016;Valdemaqueda;11001.0;2016;2700;ES_28159
285;ES_28160_2700_2016;Valdemorillo;153922.0;2016;2700;ES_28160
286;ES_28162_2700_2016;Valdeolmos-Alalpardo;74361.0;2016;2700;ES_28162
287;ES_28163_2700_2016;Valdepiélagos;7374.0;2016;2700;ES_28163
288;ES_28164_2700_2016;Valdetorres de Jarama;55655.0;2016;2700;ES_28164
289;ES_28165_2700_2016;Valdilecha;56216.0;2016;2700;ES_28165
290;ES_28166_2700_2016;Valverde de Alcalá;5045.0;2016;2700;ES_28166
291;ES_28167_2700_2016;Velilla de San Antonio;229642.0;2016;2700;ES_28167
292;ES_28168_2700_2016;Vellón (El);17420.0;2016;2700;ES_28168
293;ES_28169_2700_2016;Venturada;34748.0;2016;2700;ES_28169
294;ES_28171_2700_2016;Villa del Prado;79389.0;2016;2700;ES_28171
295;ES_28170_2700_2016;Villaconejos;43386.0;2016;2700;ES_28170
296;ES_28172_2700_2016;Villalbilla;171550.0;2016;2700;ES_28172
297;ES_28173_2700_2016;Villamanrique de Tajo;9310.0;2016;2700;ES_28173
298;ES_28174_2700_2016;Villamanta;33436.0;2016;2700;ES_28174
299;ES_28175_2700_2016;Villamantilla;16481.0;2016;2700;ES_28175
300;ES_28178_2700_2016;Villanueva de Perales;23937.0;2016;2700;ES_28178
301;ES_28176_2700_2016;Villanueva de la Cañada;374693.0;2016;2700;ES_28176
302;ES_28177_2700_2016;Villanueva del Pardillo;211665.0;2016;2700;ES_28177
303;ES_28179_2700_2016;Villar del Olmo;19327.0;2016;2700;ES_28179
304;ES_28180_2700_2016;Villarejo de Salvanés;166861.0;2016;2700;ES_28180
305;ES_28181_2700_2016;Villaviciosa de Odón;636091.0;2016;2700;ES_28181
306;ES_28182_2700_2016;Villavieja del Lozoya;3957.0;2016;2700;ES_28182
307;ES_28183_2700_2016;Zarzalejo;36877.0;2016;2700;ES_28183
308;ES_28001_2700_2017;Acebeda (La);3836.0;2017;2700;ES_28001
309;ES_28002_2700_2017;Ajalvir;299158.0;2017;2700;ES_28002
310;ES_28003_2700_2017;Alameda del Valle;4057.0;2017;2700;ES_28003
311;ES_28004_2700_2017;Alamo (El);126549.0;2017;2700;ES_28004
312;ES_28008_2700_2017;Aldea del Fresno;40376.0;2017;2700;ES_28008
313;ES_28009_2700_2017;Algete;573291.0;2017;2700;ES_28009
314;ES_28010_2700_2017;Alpedrete;197668.0;2017;2700;ES_28010
315;ES_28011_2700_2017;Ambite;7622.0;2017;2700;ES_28011
316;ES_28012_2700_2017;Anchuelo;16173.0;2017;2700;ES_28012
317;ES_28015_2700_2017;Arroyomolinos;557371.0;2017;2700;ES_28015
318;ES_28016_2700_2017;Atazar (El);3029.0;2017;2700;ES_28016
319;ES_28017_2700_2017;Batres;17038.0;2017;2700;ES_28017
320;ES_28018_2700_2017;Becerril de la Sierra;78820.0;2017;2700;ES_28018
321;ES_28019_2700_2017;Belmonte de Tajo;22132.0;2017;2700;ES_28019
322;ES_28021_2700_2017;Berrueco (El);18535.0;2017;2700;ES_28021
323;ES_28020_2700_2017;Berzosa del Lozoya;4957.0;2017;2700;ES_28020
324;ES_28023_2700_2017;Boalo (El);99608.0;2017;2700;ES_28023
325;ES_28024_2700_2017;Braojos;16929.0;2017;2700;ES_28024
326;ES_28025_2700_2017;Brea de Tajo;10906.0;2017;2700;ES_28025
327;ES_28026_2700_2017;Brunete;156297.0;2017;2700;ES_28026
328;ES_28027_2700_2017;Buitrago del Lozoya;52278.0;2017;2700;ES_28027
329;ES_28028_2700_2017;Bustarviejo;36488.0;2017;2700;ES_28028
330;ES_28029_2700_2017;Cabanillas de la Sierra;10729.0;2017;2700;ES_28029
331;ES_28030_2700_2017;Cabrera (La);43177.0;2017;2700;ES_28030
332;ES_28031_2700_2017;Cadalso de los Vidrios;56179.0;2017;2700;ES_28031
333;ES_28032_2700_2017;Camarma de Esteruelas;173651.0;2017;2700;ES_28032
334;ES_28033_2700_2017;Campo Real;144891.0;2017;2700;ES_28033
335;ES_28034_2700_2017;Canencia;8144.0;2017;2700;ES_28034
336;ES_28035_2700_2017;Carabaña;26201.0;2017;2700;ES_28035
337;ES_28036_2700_2017;Casarrubuelos;53748.0;2017;2700;ES_28036
338;ES_28037_2700_2017;Cenicientos;28236.0;2017;2700;ES_28037
339;ES_28038_2700_2017;Cercedilla;137874.0;2017;2700;ES_28038
340;ES_28039_2700_2017;Cervera de Buitrago;2331.0;2017;2700;ES_28039
341;ES_28051_2700_2017;Chapinería;30038.0;2017;2700;ES_28051
342;ES_28052_2700_2017;Chinchón;94094.0;2017;2700;ES_28052
343;ES_28040_2700_2017;Ciempozuelos;673738.0;2017;2700;ES_28040
344;ES_28041_2700_2017;Cobeña;114959.0;2017;2700;ES_28041
